SerialNo,Table,SourceRowCount,TargetRowCount,SourceMinusTargetCount,TargetMinusSourceCount,ColumnMismatchCount,Status,Error,RunTimestamp
1,employee,21.0,21.0,0.0,0.0,1.0,Mismatched,,2026-09-05 17:54:43
2,dept,5.0,5.0,0.0,0.0,0.0,Matched,,2026-09-05 17:54:43
